time,value,rainfall
10419,2.00,0.00
10438,1.00,0.00
10458,0.00,0.00
10478,1.00,0.00
10498,1.00,0.00
10517,4.00,0.00
10537,2.00,0.00
10557,0.00,0.00
10576,0.00,0.00
10596,1.00,0.00
10616,2.00,0.00
10636,4.00,0.00
10655,0.00,0.00
10676,0.00,0.00
10695,1.00,0.00
10715,2.00,0.00
10734,2.00,0.00
10755,0.00,0.00
10774,0.00,0.00
10793,0.00,0.00
10814,2.00,0.00
10833,2.00,0.00
10853,1.00,0.00
10873,0.00,0.00
10893,1.00,0.00
10912,3.00,0.00
10932,3.00,0.00
10952,2.00,0.00
10972,0.00,0.00
10991,0.00,0.00
11012,1.00,0.00
11031,3.00,0.00
11051,3.00,0.00
11071,0.00,0.00
11090,0.00,0.00
11110,1.00,0.00
11129,27.00,0.00
11151,25.00,0.00
11171,27.00,0.00
11192,28.00,0.00
11213,31.00,0.00
11234,32.00,0.00
11254,31.00,0.00
11276,31.00,0.00
11296,32.00,0.00
11317,33.00,0.00
11338,33.00,0.00
11359,31.00,0.00
11379,34.00,0.00
11400,33.00,0.00
11421,33.00,0.00
11442,31.00,0.00
11462,33.00,0.00
11484,34.00,0.00
11504,33.00,0.00
11525,31.00,0.00
11546,34.00,0.00
11567,36.00,0.00
11587,34.00,0.00
11609,34.00,0.00
11629,34.00,0.00
11650,35.00,0.00
11671,34.00,0.00
11692,33.00,0.00
11712,35.00,0.00
11732,34.00,0.00
11754,34.00,0.00
11774,31.00,0.00
11795,34.00,0.00
11816,34.00,0.00
11837,33.00,0.00
11857,31.00,0.00
11879,35.00,0.00
11899,33.00,0.00
11920,32.00,0.00
11941,32.00,0.00
11962,32.00,0.00
11982,35.00,0.00
12004,33.00,0.00
12024,31.00,0.00
12045,33.00,0.00
12065,34.00,0.00
12087,31.00,0.00
12107,30.00,0.00
12128,33.00,0.00
12149,33.00,0.00
12170,32.00,0.00
12190,31.00,0.00
12212,35.00,0.00
12232,33.00,0.00
12253,31.00,0.00
12274,30.00,0.00
12295,31.00,0.00
12315,33.00,0.00
12337,32.00,0.00
12357,30.00,0.00
12378,30.00,0.00
12398,32.00,0.00
12420,32.00,0.00
12440,30.00,0.00
12461,31.00,0.00
12482,33.00,0.00
12503,32.00,0.00
12523,31.00,0.00
12545,32.00,0.00
12565,33.00,0.00
12585,32.00,0.00
12607,30.00,0.00
12627,31.00,0.00
12648,31.00,0.00
12669,31.00,0.00
12690,29.00,0.00
12710,30.00,0.00
12731,33.00,0.00
12752,32.00,0.00
12773,30.00,0.00
12793,30.00,0.00
12815,32.00,0.00
12835,31.00,0.00
12856,30.00,0.00
12877,31.00,0.00
12898,32.00,0.00
12918,32.00,0.00
12940,31.00,0.00
12960,32.00,0.00
12981,33.00,0.00
13002,32.00,0.00
13023,28.00,0.00
13043,31.00,0.00
13064,33.00,0.00
13085,32.00,0.00
13106,29.00,0.00
13126,29.00,0.00
13148,33.00,0.00
13168,32.00,0.00
13189,30.00,0.00
13210,30.00,0.00
13231,33.00,0.00
13251,30.00,0.00
13273,30.00,0.00
13293,30.00,0.00
13314,29.00,0.00
13335,29.00,0.00
13356,91.00,0.00
13376,89.00,0.00
13396,86.00,0.00
13418,83.00,0.00
13438,78.00,0.00
13459,76.00,0.00
13480,75.00,0.00
13501,75.00,0.00
13521,71.00,0.00
13543,69.00,0.00
13563,71.00,0.00
13584,71.00,0.00
13605,67.00,0.00
13626,66.00,0.00
13646,68.00,0.00
13668,67.00,0.00
13688,65.00,0.00
13709,65.00,0.00
13729,66.00,0.00
13751,67.00,0.00
13771,65.00,0.00
13792,64.00,0.00
13813,65.00,0.00
13834,65.00,0.00
13854,63.00,0.00
13876,62.00,0.00
13896,62.00,0.00
13917,61.00,0.00
13938,60.00,0.00
13959,58.00,0.00
13979,60.00,0.00
14001,60.00,0.00
14021,60.00,0.00
14042,59.00,0.00
14062,60.00,0.00
14084,61.00,0.00
14104,59.00,0.00
14125,58.00,0.00
14146,60.00,0.00
14167,59.00,0.00
14187,58.00,0.00
14209,59.00,0.00
14229,60.00,0.00
14249,59.00,0.00
14271,60.00,0.00
14291,59.00,0.00
14312,61.00,0.00
14333,62.00,0.00
14354,59.00,0.00
14374,57.00,0.00
14395,59.00,0.00
14416,62.00,0.00
14437,59.00,0.00
14457,57.00,0.00
14479,59.00,0.00
14499,60.00,0.00
14520,57.00,0.00
14541,56.00,0.00
14562,59.00,0.00
14582,58.00,0.00
14604,58.00,0.00
14624,56.00,0.00
14645,58.00,0.00
14666,59.00,0.00
14687,58.00,0.00
14707,57.00,0.00
14728,59.00,0.00
14749,60.00,0.00
14770,57.00,0.00
14790,57.00,0.00
14812,59.00,0.00
14832,58.00,0.00
14853,59.00,0.00
14874,56.00,0.00
14895,59.00,0.00
14915,59.00,0.00
14937,57.00,0.00
14957,58.00,0.00
14978,58.00,0.00
14999,59.00,0.00
15020,57.00,0.00
15040,57.00,0.00
15060,59.00,0.00
15082,59.00,0.00
15102,59.00,0.00
15123,56.00,0.00
15144,59.00,0.00
15165,60.00,0.00
15185,56.00,0.00
15207,57.00,0.00
15227,58.00,0.00
15248,59.00,0.00
15269,57.00,0.00
15290,56.00,0.00
15310,58.00,0.00
15332,58.00,0.00
15352,56.00,0.00
15373,57.00,0.00
15393,57.00,0.00
15415,60.00,0.00
15435,59.00,0.00
15456,56.00,0.00
15477,59.00,0.00
15498,59.00,0.00
15518,58.00,0.00
15540,56.00,0.00
15560,57.00,0.00
15581,58.00,0.00
15602,58.00,0.00
15623,56.00,0.00
15643,58.00,0.00
15665,61.00,0.00
15685,58.00,0.00
15706,56.00,0.00
15726,58.00,0.00
15748,58.00,0.00
15768,59.00,0.00
15789,57.00,0.00
15810,57.00,0.00
15831,59.00,0.00
15851,57.00,0.00
15873,55.00,0.00
15893,56.00,0.00
15913,57.00,0.00
15935,56.00,0.00
15955,54.00,0.00
15976,55.00,0.00
15997,57.00,0.00
16018,55.00,0.00
16038,53.00,0.00
16059,54.00,0.00
16080,56.00,0.00
16101,55.00,0.00
16121,53.00,0.00
16143,55.00,0.00
16163,55.00,0.00
16184,54.00,0.00
16205,52.00,0.00
16226,52.00,0.00
16246,54.00,0.00
16268,54.00,0.00
16288,51.00,0.00
16309,52.00,0.00
16330,53.00,0.00
16351,55.00,0.00
16371,51.00,0.00
16392,53.00,0.00
16413,54.00,0.00
16434,53.00,0.00
16454,51.00,0.00
16476,50.00,0.00
16496,52.00,0.00
16517,51.00,0.00
16538,51.00,0.00
16559,50.00,0.00
16579,52.00,0.00
16601,53.00,0.00
16621,51.00,0.00
16642,49.00,0.00
16663,54.00,0.00
16684,53.00,0.00
16704,51.00,0.00
16724,51.00,0.00
16746,53.00,0.00
16766,51.00,0.00
16787,50.00,0.00
16808,50.00,0.00
16829,53.00,0.00
16849,51.00,0.00
16871,50.00,0.00
16891,50.00,0.00
16912,721.00,0.00
16934,50.00,0.00
16955,50.00,0.00
16975,50.00,0.00
16997,51.00,0.00
17017,50.00,0.00
17038,48.00,0.00
17058,49.00,0.00
17080,53.00,0.00
17100,50.00,0.00
17121,48.00,0.00
17142,49.00,0.00
17163,51.00,0.00
17183,51.00,0.00
17205,50.00,0.00
17225,49.00,0.00
17246,52.00,0.00
17267,50.00,0.00
17288,49.00,0.00
17308,49.00,0.00
17330,52.00,0.00
17350,50.00,0.00
17371,49.00,0.00
17391,49.00,0.00
17413,51.00,0.00
17433,51.00,0.00
17454,49.00,0.00
17475,47.00,0.00
17496,52.00,0.00
17516,54.00,0.00
17538,48.00,0.00
17558,48.00,0.00
17579,51.00,0.00
17600,50.00,0.00
17620,48.00,0.00
17641,48.00,0.00
17662,50.00,0.00
17683,50.00,0.00
17703,48.00,0.00
17724,49.00,0.00
17745,51.00,0.00
17766,51.00,0.00
17786,49.00,0.00
17808,49.00,0.00
17828,50.00,0.00
17849,51.00,0.00
17870,49.00,0.00
17891,47.00,0.00
17911,51.00,0.00
17933,50.00,0.00
17953,49.00,0.00
17974,47.00,0.00
17995,49.00,0.00
18016,814.00,0.00
18037,48.00,0.00
18059,47.00,0.00
18079,50.00,0.00
18100,50.00,0.00
18120,48.00,0.00
18142,47.00,0.00
18162,51.00,0.00
18183,49.00,0.00
18204,47.00,0.00
18225,47.00,0.00
18245,50.00,0.00
18267,50.00,0.00
18287,47.00,0.00
18308,47.00,0.00
18329,51.00,0.00
18350,49.00,0.00
18370,47.00,0.00
18392,46.00,0.00
18412,49.00,0.00
18433,48.00,0.00
18453,47.00,0.00
18475,47.00,0.00
18495,50.00,0.00
18515,50.00,0.00
18537,46.00,0.00
18557,50.00,0.00
18578,45.00,0.00
18599,44.00,0.00
18620,43.00,0.00
18640,43.00,0.00
18662,46.00,0.00
18682,47.00,0.00
18703,43.00,0.00
18724,42.00,0.00
18745,44.00,0.00
18765,43.00,0.00
18786,43.00,0.00
18807,41.00,0.00
18828,44.00,0.00
18848,45.00,0.00
18870,43.00,0.00
18890,42.00,0.00
18911,45.00,0.00
18932,44.00,0.00
18953,42.00,0.00
18973,43.00,0.00
18995,45.00,0.00
19015,44.00,0.00
19036,42.00,0.00
19057,42.00,0.00
19078,44.00,0.00
19098,43.00,0.00
19119,45.00,0.00
19140,42.00,0.00
19161,44.00,0.00
19181,45.00,0.00
19203,42.00,0.00
19223,39.00,0.00
19244,45.00,0.00
19265,45.00,0.00
19286,43.00,0.00
19306,42.00,0.00
19328,42.00,0.00
19348,43.00,0.00
19368,46.00,0.00
19390,41.00,0.00
19410,43.00,0.00
19431,44.00,0.00
19451,42.00,0.00
19473,40.00,0.00
19493,43.00,0.00
19514,41.00,0.00
19535,41.00,0.00
19556,41.00,0.00
19576,43.00,0.00
19598,43.00,0.00
19618,41.00,0.00
19639,39.00,0.00
19660,43.00,0.00
19681,42.00,0.00
19701,41.00,0.00
19723,41.00,0.00
19743,42.00,0.00
19764,42.00,0.00
19784,41.00,0.00
19806,39.00,0.00
19826,43.00,0.00
19847,43.00,0.00
19868,41.00,0.00
19889,39.00,0.00
19909,42.00,0.00
19931,42.00,0.00
19951,41.00,0.00
19972,40.00,0.00
19993,42.00,0.00
20014,42.00,0.00
20034,41.00,0.00
20056,39.00,0.00
20076,40.00,0.00
20097,43.00,0.00
20117,41.00,0.00
20139,39.00,0.00
20159,42.00,0.00
20179,43.00,0.00
20201,794.00,0.01
20222,40.00,0.01
20243,40.00,0.01
20264,41.00,0.01
20285,40.00,0.01
20305,39.00,0.01
20327,41.00,0.01
20347,42.00,0.01
20368,40.00,0.01
20389,39.00,0.01
20410,42.00,0.01
20430,41.00,0.01
20451,41.00,0.01
20472,38.00,0.01
20493,40.00,0.01
20513,41.00,0.01
20535,40.00,0.01
20555,38.00,0.01
20576,41.00,0.01
20597,40.00,0.01
20618,38.00,0.01
20638,39.00,0.01
20660,40.00,0.01
20680,41.00,0.01
20701,40.00,0.01
20722,38.00,0.01
20743,41.00,0.01
20763,41.00,0.01
20784,39.00,0.01
20805,38.00,0.01
20826,41.00,0.01
20846,41.00,0.01
20868,39.00,0.01
20888,38.00,0.01
20909,39.00,0.01
20930,39.00,0.01
20951,40.00,0.01
20971,38.00,0.01
20993,39.00,0.01
21013,40.00,0.01
21033,39.00,0.01
21055,37.00,0.01
21075,38.00,0.01
21096,39.00,0.01
21116,39.00,0.01
21138,36.00,0.01
21158,39.00,0.01
21179,39.00,0.01
21200,37.00,0.01
21221,36.00,0.01
21241,38.00,0.01
21263,39.00,0.01
21283,826.00,0.01
21305,36.00,0.01
21326,38.00,0.01
21347,37.00,0.01
