time,value,rainfall
32,89.00,0.00
23,91.00,0.00
22,93.00,0.00
28,59.00,0.00
32,56.00,0.00
36,59.00,0.00
52,60.00,0.00
70,59.00,0.00
88,59.00,0.00
105,59.00,0.00
123,61.00,0.00
143,61.00,0.00
161,59.00,0.00
180,60.00,0.00
198,59.00,0.00
218,61.00,0.00
236,58.00,0.00
254,61.00,0.00
274,60.00,0.00
292,60.00,0.00
311,59.00,0.00
329,58.00,0.00
349,61.00,0.00
367,59.00,0.00
386,60.00,0.00
405,60.00,0.00
423,60.00,0.00
442,61.00,0.00
460,60.00,0.00
480,60.00,0.00
498,59.00,0.00
517,57.00,0.00
536,60.00,0.00
555,61.00,0.00
573,61.00,0.00
591,60.00,0.00
611,60.00,0.00
629,60.00,0.00
648,60.00,0.00
667,60.00,0.00
686,61.00,0.00
704,61.00,0.00
722,62.00,0.00
742,62.00,0.00
760,60.00,0.00
779,60.00,0.00
797,60.00,0.00
817,61.00,0.00
835,63.00,0.00
854,63.00,0.00
873,62.00,0.00
891,62.00,0.00
910,62.00,0.00
928,62.00,0.00
948,61.00,0.00
966,61.00,0.00
985,60.00,0.00
1004,62.00,0.00
1024,62.00,0.00
1043,63.00,0.00
1062,62.00,0.00
1083,60.00,0.00
1102,62.00,0.00
1122,62.00,0.00
1142,62.00,0.00
1162,61.00,0.00
1181,60.00,0.00
1202,59.00,0.00
1221,60.00,0.00
1241,59.00,0.00
1260,59.00,0.00
1281,57.00,0.00
1300,58.00,0.00
1319,59.00,0.00
1340,59.00,0.00
1359,60.00,0.00
1379,57.00,0.00
1399,57.00,0.00
1419,57.00,0.00
1438,59.00,0.00
1458,58.00,0.00
1478,56.00,0.00
1498,56.00,0.00
1517,56.00,0.00
1538,59.00,0.00
1557,59.00,0.00
1576,58.00,0.00
1596,58.00,0.00
1616,57.00,0.00
1636,58.00,0.00
1655,57.00,0.00
1676,62.00,0.00
1695,57.00,0.00
1715,56.00,0.00
1735,57.00,0.00
1755,58.00,0.00
1774,58.00,0.00
1794,57.00,0.00
1814,56.00,0.00
1833,56.00,0.00
1853,58.00,0.00
1873,58.00,0.00
1893,58.00,0.00
1912,57.00,0.00
1933,56.00,0.00
1952,58.00,0.00
1972,58.00,0.00
1991,57.00,0.00
2012,57.00,0.00
2031,56.00,0.00
2051,56.00,0.00
2071,59.00,0.00
2091,59.00,0.00
2110,57.00,0.00
2129,56.00,0.00
2150,55.00,0.00
2169,57.00,0.00
2189,58.00,0.00
2209,57.00,0.00
2229,57.00,0.00
2248,55.00,0.00
2269,56.00,0.00
2288,58.00,0.00
2308,57.00,0.00
2327,56.00,0.00
2348,54.00,0.00
2367,54.00,0.00
2386,54.00,0.00
2407,57.00,0.00
2426,57.00,0.00
2446,55.00,0.00
2466,53.00,0.00
2486,54.00,0.00
2505,56.00,0.00
2525,55.00,0.00
2545,54.00,0.00
2565,54.00,0.00
2584,54.00,0.00
2605,56.00,0.00
2624,55.00,0.00
2643,55.00,0.00
2664,54.00,0.00
2683,52.00,0.00
2703,55.00,0.00
2722,54.00,0.00
2743,54.00,0.00
2762,53.00,0.00
2782,56.00,0.00
2802,53.00,0.00
2822,55.00,0.00
2841,54.00,0.00
2861,52.00,0.00
2881,52.00,0.00
2900,52.00,0.00
2920,54.00,0.00
2940,54.00,0.00
2960,53.00,0.00
2979,53.00,0.00
3000,51.00,0.00
3019,53.00,0.00
3039,54.00,0.00
3058,54.00,0.00
3079,53.00,0.00
3098,51.00,0.00
3118,53.00,0.00
3138,52.00,0.00
3158,53.00,0.00
3177,53.00,0.00
3197,52.00,0.00
3217,51.00,0.00
3236,52.00,0.00
3256,53.00,0.00
3276,53.00,0.00
3296,52.00,0.00
3315,52.00,0.00
3336,54.00,0.00
3355,53.00,0.00
3375,53.00,0.00
3394,52.00,0.00
3415,51.00,0.00
3434,52.00,0.00
3453,53.00,0.00
3474,53.00,0.00
3493,52.00,0.00
3513,52.00,0.00
3533,51.00,0.00
3553,53.00,0.00
3572,53.00,0.00
3592,53.00,0.00
3612,52.00,0.00
3632,51.00,0.00
3651,51.00,0.00
3672,54.00,0.00
3691,52.00,0.00
3710,52.00,0.00
3731,51.00,0.00
