time,rainfall,value
162,26.00,0.00
5827,3.00,0.00
5831,5.00,0.00
5835,4.00,0.00
5839,2.00,0.00
5852,5.00,0.00
5871,4.00,0.00
5890,2.00,0.00
5908,2.00,0.00
5927,3.00,0.00
5946,4.00,0.00
5964,5.00,0.00
5983,4.00,0.00
6002,4.00,0.00
6021,4.00,0.00
6039,3.00,0.00
6059,3.00,0.00
6077,3.00,0.00
6095,3.00,0.00
6114,5.00,0.00
6133,6.00,0.00
6152,4.00,0.00
6170,2.00,0.00
6189,3.00,0.00
6208,2.00,0.00
6226,3.00,0.00
6245,3.00,0.00
6264,5.00,0.00
6283,4.00,0.00
6301,4.00,0.00
6320,4.00,0.00
6339,3.00,0.00
6358,2.00,0.00
6376,2.00,0.00
6395,4.00,0.00
6414,5.00,0.00
6432,6.00,0.00
6451,5.00,0.00
6470,3.00,0.00
6489,3.00,0.00
6507,4.00,0.00
6526,3.00,0.00
6545,4.00,0.00
6563,5.00,0.00
6582,6.00,0.00
6601,4.00,0.00
6620,5.00,0.00
6638,4.00,0.00
6658,3.00,0.00
6676,3.00,0.00
6694,3.00,0.00
6713,4.00,0.00
6732,5.00,0.00
6751,5.00,0.00
6769,2.00,0.00
6788,4.00,0.00
6807,3.00,0.00
6825,1.00,0.00
6844,2.00,0.00
6863,6.00,0.00
6882,6.00,0.00
6900,3.00,0.00
6919,3.00,0.00
6938,4.00,0.00
6957,2.00,0.00
6975,4.00,0.00
6994,3.00,0.00
7013,5.00,0.00
7031,5.00,0.00
7050,5.00,0.00
7069,3.00,0.00
7088,4.00,0.00
7106,3.00,0.00
7126,3.00,0.00
7144,3.00,0.00
7162,6.00,0.00
7181,4.00,0.00
7200,5.00,0.00
7219,4.00,0.00
7237,4.00,0.00
7257,2.00,0.00
7275,2.00,0.00
7293,3.00,0.00
7312,6.00,0.00
7331,5.00,0.00
7350,5.00,0.00
7368,4.00,0.00
7387,3.00,0.00
7406,4.00,0.00
7425,2.00,0.00
7443,4.00,0.00
7462,6.00,0.00
7481,5.00,0.00
7499,6.00,0.00
7518,4.00,0.00
7537,3.00,0.00
7556,3.00,0.00
7574,2.00,0.00
7593,3.00,0.00
7612,4.00,0.00
7630,5.00,0.00
7649,5.00,0.00
7668,3.00,0.00
7687,4.00,0.00
7705,3.00,0.00
7725,2.00,0.00
7743,4.00,0.00
7761,4.00,0.00
7780,5.00,0.00
7799,3.00,0.00
7818,5.00,0.00
7836,4.00,0.00
7856,4.00,0.00
7874,2.00,0.00
7892,2.00,0.00
7911,4.00,0.00
7930,5.00,0.00
7949,6.00,0.00
7967,3.00,0.00
7986,3.00,0.00
8005,4.00,0.00
8024,1.00,0.00
8042,3.00,0.00
8061,4.00,0.00
8080,5.00,0.00
8098,4.00,0.00
8117,2.00,0.00
8136,3.00,0.00
8155,3.00,0.00
8173,1.00,0.00
8193,3.00,0.00
8211,5.00,0.00
8229,4.00,0.00
8248,6.00,0.00
8267,4.00,0.00
8286,4.00,0.00
8304,4.00,0.00
8324,3.00,0.00
8342,3.00,0.00
8360,5.00,0.00
8379,6.00,0.00
8398,5.00,0.00
8417,5.00,0.00
8435,3.00,0.00
8455,4.00,0.00
8473,3.00,0.00
8492,3.00,0.00
8510,5.00,0.00
8529,5.00,0.00
8548,5.00,0.00
8566,3.00,0.00
8585,3.00,0.00
8604,4.00,0.00
8623,3.00,0.00
8641,3.00,0.00
8660,4.00,0.00
8679,7.00,0.00
8697,5.00,0.00
8716,6.00,0.00
8735,5.00,0.00
8754,5.00,0.00
8772,3.00,0.00
8792,4.00,0.00
8810,4.00,0.00
8828,6.00,0.00
8847,5.00,0.00
8866,5.00,0.00
8885,6.00,0.00
8903,5.00,0.00
8923,4.00,0.00
