time,value
379,483
205,463
219,463
230,460
241,459
252,460
263,458
274,457
285,458
295,455
307,455
318,456
329,453
339,453
351,454
362,451
372,452
384,452
395,449
406,450
416,450
428,447
439,448
449,448
460,445
472,447
483,446
493,443
504,445
516,444
526,441
537,443
548,442
559,439
570,441
581,439
592,437
603,439
614,437
625,435
635,437
647,435
658,434
669,435
679,433
691,432
702,433
712,431
723,430
735,432
746,429
756,429
768,430
779,427
789,427
800,428
812,425
829,424
839,424
850,425
862,422
873,423
883,423
894,420
906,421
916,421
927,418
939,419
950,419
960,416
971,418
983,417
993,414
1004,416
1015,415
1027,412
1037,414
1048,413
1059,411
1071,412
1082,411
1092,409
1103,411
1115,409
1126,407
1137,409
1147,408
1159,405
1170,408
1181,406
1192,404
1203,406
1214,404
1225,402
1236,404
1248,403
1258,401
1269,403
1281,401
1292,399
1302,401
1313,400
1325,398
1336,400
1347,398
1357,396
1369,399
1380,397
1391,395
1402,397
1418,397
1429,394
1439,394
1451,395
1462,393
1473,393
1484,394
1495,391
1506,391
1517,392
1528,390
1540,390
1550,391
1561,388
1572,388
1584,390
1595,387
1605,387
1616,388
1628,385
1639,386
1649,387
1660,384
1672,385
1683,385
1694,382
1704,383
1716,384
1727,381
1738,382
1750,383
1760,380
1771,381
1782,381
1794,378
1805,380
1815,380
1826,377
1838,379
1849,379
1860,376
1870,378
1882,377
1893,375
1904,377
1915,376
1926,374
1937,376
1948,375
1959,372
1971,374
1987,374
1998,374
2009,371
2020,373
2031,373
2042,370
2054,372
2064,371
2075,369
2086,371
2098,370
2108,368
2119,370
2130,369
2142,367
2153,369
2163,368
2174,366
2186,368
2197,367
2208,365
2219,367
2230,366
2241,364
2252,366
2264,365
2274,363
2285,365
2296,364
2308,362
2319,364
2329,363
2340,361
2352,364
2363,362
2374,360
2384,363
2396,361
2407,360
2418,362
2429,360
2440,359
2451,361
2462,359
2473,358
2485,360
2495,358
2506,357
2518,359
2529,357
2540,356
2550,357
2567,358
2577,355
2588,356
2599,357
2611,354
2621,355
2632,356
2643,354
2655,354
2666,355
2676,353
2688,354
2699,355
2710,352
2721,353
2732,354
2743,351
2754,352
2765,353
2777,350
2787,352
2798,352
2809,349
2821,351
2832,351
2842,348
2853,350
2865,351
2876,348
2887,350
2897,350
2909,347
2920,349
2931,349
2942,347
2953,349
2964,349
2975,346
2987,348
2998,348
3008,345
3019,347
3031,347
3042,345
3053,347
3063,346
3075,344
3087,346
3098,346
3109,344
3121,344
3137,345
3148,346
3160,343
3171,344
3182,345
3192,343
3204,344
3215,345
3226,342
3237,343
3248,344
3259,341
3270,343
3281,343
3293,341
3304,342
3315,343
3326,341
3338,341
3350,343
3361,341
3373,340
3384,342
3395,341
3406,339
3419,342
3430,341
3441,339
3452,341
3464,341
3476,339
3487,340
3499,341
3510,339
3521,339
3532,341
3545,339
3556,338
3567,340
3578,339
3590,337
3601,340
3613,339
3624,337
3636,339
3647,339
3658,337
3670,338
3682,339
3693,337
3704,337
3720,338
3731,338
3742,336
3752,338
3764,338
3775,335
3786,337
3798,337
3808,335
3819,336
3830,337
3842,334
3853,336
3864,336
3876,334
3888,335
3899,336
3910,334
3921,334
3933,336
3945,334
3956,333
3968,335
3979,334
3990,332
4001,335
4014,334
4025,332
4036,334
4047,334
4059,332
4070,333
4082,334
4093,332
4105,332
4116,334
4127,332
4139,331
4151,333
4162,332
4173,330
4185,333
4196,332
4208,330
4219,332
4231,332
4242,330
4253,331
4264,332
4277,330
4288,330
4304,330
4316,332
4327,330
4337,330
4348,332
4360,330
4371,330
4382,332
4392,330
4404,330
4415,332
4426,329
4438,329
4448,331
4459,329
4470,329
4483,331
4494,329
4505,328
4516,331
4528,329
4540,328
4551,330
4562,330
4574,328
4585,330
4596,330
4609,328
4620,329
4631,330
4642,328
4654,328
4665,330
4677,328
4688,327
4700,330
4711,329
4722,327
4733,329
4746,329
4757,327
4768,329
4780,329
4791,327
4802,328
4814,329
4826,327
4837,327
4848,329
4859,327
4871,326
4887,327
4897,329
4909,327
4920,327
4931,329
4942,327
4953,327
4964,329
4975,326
4986,327
4998,328
5009,326
5020,327
5031,328
5043,326
5054,326
5065,328
5078,327
5089,325
5100,328
5111,327
5123,325
5134,327
5146,327
5157,325
5169,327
5180,327
5191,325
5202,326
5215,327
5226,325
5237,325
5249,327
5260,326
5272,325
5283,327
5295,326
5306,324
5317,326
5328,326
5341,324
5352,326
5363,326
5374,324
5386,325
5397,326
5409,324
5421,324
5432,326
5443,325
5454,324
5466,324
5483,326
5493,325
5505,324
5516,326
5527,325
5538,324
5549,326
5560,325
5571,324
5582,326
5594,325
5604,324
5615,326
5626,325
5638,324
5649,326
5660,325
5672,323
5684,326
5695,325
5706,323
5718,325
5729,326
5741,324
5752,325
5764,326
5775,324
5786,324
5797,326
5810,324
5821,323
5832,326
5843,325
5855,323
5866,326
5878,325
5890,323
5901,325
5912,325
5923,323
5935,324
5947,325
5958,323
5969,323
5981,325
5992,323
6004,323
6016,325
6027,324
6038,322
6049,323
6065,325
6076,324
6087,323
6098,325
6109,324
6120,323
6131,325
6142,323
6154,323
6164,325
6175,323
6187,322
6198,325
6210,324
6221,322
6233,325
6244,324
6255,322
6266,324
6279,324
6290,322
6301,324
6312,324
6324,322
6335,323
6347,324
6359,322
6370,322
6381,324
6392,323
6405,322
6416,324
6427,323
6438,322
6450,324
6461,324
6473,322
6484,323
6496,324
6507,322
6518,323
6530,324
6542,322
6553,322
6564,324
6576,323
6587,322
6598,324
6610,323
6622,321
6633,324
6649,324
6661,324
6672,322
6682,324
6693,324
6705,322
6716,324
6727,324
6737,322
6749,324
6760,324
6771,322
6782,325
6793,324
6805,322
6816,324
6828,324
6839,322
6850,324
6861,324
6874,322
6885,323
6896,324
6907,322
6919,322
6930,324
6942,322
6953,322
6965,324
6976,323
6987,321
6999,324
7011,323
7022,321
7033,323
7045,323
7056,321
7067,322
7079,323
7091,321
7102,321
7113,323
7124,321
7137,321
7148,323
7159,322
7171,320
7182,323
7193,322
7205,320
7217,322
7232,323
7243,322
7254,320
7265,323
7276,322
7287,320
7299,323
7309,322
7320,320
7331,323
7343,322
7354,320
7365,323
7376,322
7388,320
7399,322
7411,322
7422,320
7434,321
7445,322
7456,320
7469,321
7480,322
7491,320
7502,320
7514,322
7525,321
7537,320
7548,322
7560,321
7571,320
7582,322
7593,322
7606,320
7617,321
7628,322
7640,320
7651,321
7662,322
7674,320
7686,320
7697,322
7708,321
7719,320
7731,322
7743,321
7754,319
7766,322
7777,321
7788,319
7799,321
7817,321
7827,322
7838,320
7849,321
7861,322
7872,320
7882,322
7894,322
7905,320
7916,322
7927,322
7938,320
7949,322
7960,322
7971,320
7983,322
7994,322
8006,320
8017,321
8029,322
8040,320
8051,320
8062,322
8075,321
8086,320
8097,322
8109,321
8120,319
8131,322
8143,321
8155,319
8166,321
8177,322
8188,320
8201,321
8212,322
8223,320
8235,320
8246,322
8257,320
8269,320
8281,322
8292,321
8303,319
8314,322
8326,321
8338,319
8349,321
8360,321
8372,319
8383,320
8394,321
8411,321
8421,319
8432,321
8443,321
8455,319
8466,321
8476,321
8487,319
8499,321
8510,321
8520,319
8531,321
8544,321
8555,319
8566,320
8578,321
8589,319
8601,320
8612,321
8624,320
8635,319
8646,321
8657,320
8670,319
8681,321
8692,321
8704,319
8715,321
8726,321
8738,319
8750,320
8761,321
8772,319
8783,320
8795,321
8807,319
8818,319
8829,321
8841,320
8852,319
8863,321
8876,320
8887,319
8898,321
8909,321
8921,319
8933,321
8944,321
8955,319
8967,320
8978,320
8995,322
9006,320
9017,320
9028,322
9039,320
9050,320
9061,322
9072,320
9083,320
9095,322
9105,320
9116,320
9127,322
9139,320
9150,320
9161,322
9172,320
9184,320
9195,322
9207,320
9219,319
9230,322
9241,321
9252,319
9264,321
9276,321
9287,319
9298,321
9310,321
9321,319
9333,320
9345,321
9356,319
9367,319
9378,321
9390,320
9402,319
9413,321
9424,320
9436,319
9447,321
9458,321
9470,319
9482,321
9493,321
9504,319
9516,320
9527,321
9539,319
9550,319
9562,321
9577,321
9588,319
9600,320
9610,321
9621,319
9632,320
9644,321
9655,319
9665,320
9676,321
9688,319
9699,320
9710,321
9721,319
9734,319
9745,321
9756,319
9767,319
9779,321
9790,320
9802,319
9814,321
9825,320
9836,318
9847,320
9859,321
9871,319
9882,320
9893,321
9905,319
9916,320
9927,321
9939,319
9951,319
9962,321
9973,320
9985,319
9996,321
10008,320
10020,319
10033,320
10045,321
10057,320
10071,319
10083,320
10095,321
10107,321
10120,319
10133,320
10145,322
10162,322
10173,321
10184,320
10195,322
10208,321
10220,320
10232,321
10245,322
10257,321
10270,320
10283,321
10295,322
10307,321
10319,320
10333,321
10345,322
10357,321
10370,320
10382,321
10394,322
10407,321
10420,320
10432,321
10444,322
10457,321
10470,320
10482,321
10494,322
10507,321
10519,320
10532,321
10545,323
10557,322
10569,320
10582,321
10594,323
10607,322
10619,320
10632,322
10644,323
10656,322
10670,320
10682,322
10694,323
10706,322
10719,320
10732,320
10747,322
10759,323
10770,321
10781,322
10793,323
10807,322
10819,320
10831,322
10844,323
10856,322
10869,320
10882,322
10894,323
10906,322
10918,320
10932,322
10944,323
10956,322
10969,320
10981,322
10993,323
11006,322
11019,320
11031,322
11043,323
11056,322
11069,320
11081,322
11094,323
11106,322
11118,320
11131,322
11144,323
11156,322
11168,321
11181,322
11193,323
11206,322
11218,321
11231,323
11243,324
11255,322
11269,321
11281,323
11293,324
11305,322
11322,323
11333,322
11344,324
11356,323
11368,322
11380,323
11393,324
11406,323
11418,322
11430,324
11443,325
11455,323
11468,322
11481,324
11493,325
11505,323
11517,322
11531,324
11543,325
11555,323
11568,322
11580,324
11592,325
11606,323
11618,322
11630,324
11642,325
11655,323
11668,322
11680,324
11693,325
11705,323
11717,322
