time,rainfall,value
10833,0.00,0.00
10853,0.00,0.00
10872,1.00,0.00
10893,2.00,0.00
10912,0.00,0.00
10932,1.00,0.00
10951,0.00,0.00
10972,1.00,0.00
10991,2.00,0.00
11011,1.00,0.00
11031,0.00,0.00
11051,885.00,1.00
11072,821.00,1.00
11095,0.00,1.00
11114,0.00,1.00
11133,0.00,1.00
11153,0.00,1.00
11173,3.00,1.00
11193,1.00,1.00
11212,0.00,1.00
11233,0.00,1.00
11252,0.00,1.00
11272,1.00,1.00
11292,1.00,1.00
11312,882.00,2.00
11333,40.00,2.00
11355,827.00,3.00
11376,2.00,3.00
11396,0.00,3.00
11415,0.00,3.00
11436,0.00,3.00
11455,1.00,3.00
11474,1.00,3.00
11495,1.00,3.00
11514,0.00,3.00
11534,0.00,3.00
11554,0.00,3.00
11574,0.00,3.00
11593,1.00,3.00
11613,0.00,3.00
11633,0.00,3.00
11653,0.00,3.00
11672,1.00,3.00
11693,1.00,3.00
11712,0.00,3.00
11731,0.00,3.00
11751,0.00,3.00
11771,1.00,3.00
11791,1.00,3.00
11810,1.00,3.00
11831,0.00,3.00
11850,0.00,3.00
11870,1.00,3.00
11890,2.00,3.00
11910,1.00,3.00
11929,0.00,3.00
11949,0.00,3.00
11969,0.00,3.00
11988,0.00,3.00
12008,1.00,3.00
12028,0.00,3.00
12048,0.00,3.00
12067,0.00,3.00
12088,1.00,3.00
12107,1.00,3.00
12127,0.00,3.00
12146,0.00,3.00
12167,0.00,3.00
12186,0.00,3.00
12206,1.00,3.00
12226,0.00,3.00
12246,0.00,3.00
12265,0.00,3.00
12284,0.00,3.00
12305,0.00,3.00
12324,1.00,3.00
12344,0.00,3.00
12364,0.00,3.00
12384,0.00,3.00
12403,0.00,3.00
12424,1.00,3.00
12443,0.00,3.00
12463,0.00,3.00
12482,0.00,3.00
12503,0.00,3.00
12522,1.00,3.00
12541,1.00,3.00
12562,1.00,3.00
12581,0.00,3.00
12601,0.00,3.00
12621,2.00,3.00
12641,3.00,3.00
12660,0.00,3.00
12680,0.00,3.00
12700,0.00,3.00
12720,0.00,3.00
12739,1.00,3.00
12760,0.00,3.00
12779,0.00,3.00
12798,0.00,3.00
12819,0.00,3.00
12838,1.00,3.00
12858,1.00,3.00
12877,0.00,3.00
12898,0.00,3.00
12917,0.00,3.00
12937,1.00,3.00
12957,1.00,3.00
12977,1.00,3.00
12996,0.00,3.00
13016,0.00,3.00
13036,0.00,3.00
13056,1.00,3.00
13075,1.00,3.00
13095,0.00,3.00
13115,0.00,3.00
13134,0.00,3.00
13155,1.00,3.00
13174,0.00,3.00
13194,0.00,3.00
13213,0.00,3.00
13234,0.00,3.00
13253,1.00,3.00
13273,1.00,3.00
13293,0.00,3.00
13313,0.00,3.00
13332,0.00,3.00
13352,0.00,3.00
13372,3.00,3.00
13391,1.00,3.00
13411,0.00,3.00
13431,0.00,3.00
13451,0.00,3.00
13470,1.00,3.00
13491,1.00,3.00
13510,0.00,3.00
13530,0.00,3.00
13549,0.00,3.00
13570,0.00,3.00
13589,1.00,3.00
13608,0.00,3.00
13629,0.00,3.00
13648,0.00,3.00
13668,0.00,3.00
13688,0.00,3.00
13708,1.00,3.00
13727,0.00,3.00
13747,0.00,3.00
13767,0.00,3.00
13787,0.00,3.00
13806,2.00,3.00
13827,1.00,3.00
13846,0.00,3.00
13865,0.00,3.00
13886,0.00,3.00
13905,1.00,3.00
13925,1.00,3.00
13944,0.00,3.00
13965,0.00,3.00
13984,0.00,3.00
14004,1.00,3.00
14024,1.00,3.00
14044,0.00,3.00
14063,0.00,3.00
14084,1.00,3.00
14103,0.00,3.00
14123,0.00,3.00
14142,1.00,3.00
14162,0.00,3.00
14182,0.00,3.00
14201,0.00,3.00
14222,1.00,3.00
14241,0.00,3.00
14261,0.00,3.00
14280,0.00,3.00
14301,0.00,3.00
14320,1.00,3.00
14340,1.00,3.00
14360,1.00,3.00
14380,0.00,3.00
14399,0.00,3.00
14419,1.00,3.00
14439,0.00,3.00
14458,0.00,3.00
14478,0.00,3.00
14498,0.00,3.00
14518,0.00,3.00
14537,1.00,3.00
14558,928.00,4.00
14579,878.00,4.00
14601,803.00,4.00
14623,0.00,4.00
14643,0.00,4.00
14662,0.00,4.00
14683,0.00,4.00
14702,1.00,4.00
14722,1.00,4.00
14741,0.00,4.00
14761,0.00,4.00
14781,0.00,4.00
14800,0.00,4.00
14821,1.00,4.00
14840,1.00,4.00
14860,0.00,4.00
14879,0.00,4.00
14900,0.00,4.00
14919,1.00,4.00
14939,3.00,4.00
14959,0.00,4.00
14979,0.00,4.00
14998,0.00,4.00
15019,0.00,4.00
15038,1.00,4.00
15057,0.00,4.00
15077,0.00,4.00
15097,0.00,4.00
15117,0.00,4.00
15136,2.00,4.00
15157,0.00,4.00
15176,0.00,4.00
15196,0.00,4.00
15216,0.00,4.00
15236,0.00,4.00
15255,2.00,4.00
15275,0.00,4.00
15295,889.00,5.00
15316,772.00,5.00
15338,1.00,5.00
15358,742.00,6.00
15380,724.00,6.00
15401,717.00,6.00
15424,714.00,6.00
15446,711.00,6.00
15467,709.00,6.00
15490,708.00,6.00
15511,708.00,6.00
15533,707.00,6.00
15555,707.00,6.00
15577,708.00,6.00
15598,708.00,6.00
15621,711.00,6.00
15642,715.00,6.00
15664,719.00,6.00
15686,721.00,6.00
15708,721.00,6.00
15729,725.00,6.00
15752,726.00,6.00
15773,728.00,6.00
15795,729.00,6.00
15817,730.00,6.00
15839,732.00,6.00
15860,733.00,6.00
15883,732.00,6.00
15904,734.00,6.00
15926,735.00,6.00
15948,735.00,6.00
15970,736.00,6.00
15991,738.00,6.00
16014,738.00,6.00
16035,739.00,6.00
16057,740.00,6.00
16078,741.00,6.00
16101,741.00,6.00
16122,741.00,6.00
16144,743.00,6.00
16166,744.00,6.00
16188,744.00,6.00
16209,745.00,6.00
16232,745.00,6.00
16253,747.00,6.00
16275,747.00,6.00
16297,748.00,6.00
16319,749.00,6.00
16340,881.00,6.00
16363,732.00,6.00
16385,627.00,6.00
16406,664.00,6.00
16429,623.00,6.00
16450,624.00,6.00
16472,628.00,6.00
16494,634.00,6.00
16516,636.00,6.00
16537,641.00,6.00
16560,645.00,6.00
16581,650.00,6.00
16603,650.00,6.00
16625,654.00,6.00
16647,653.00,6.00
16668,655.00,6.00
16691,656.00,6.00
16712,657.00,6.00
16734,659.00,6.00
16756,661.00,6.00
16778,663.00,6.00
16799,661.00,6.00
16822,664.00,6.00
16843,664.00,6.00
16865,663.00,6.00
16887,664.00,6.00
16909,663.00,6.00
16930,664.00,6.00
16953,665.00,6.00
16974,665.00,6.00
16996,664.00,6.00
17018,664.00,6.00
17040,664.00,6.00
17061,664.00,6.00
17084,663.00,6.00
17105,664.00,6.00
17127,664.00,6.00
17149,664.00,6.00
17171,666.00,6.00
17192,663.00,6.00
17215,663.00,6.00
17236,881.00,6.00
17258,0.00,6.00
17278,623.00,7.00
17300,0.00,7.00
17319,1.00,7.00
17339,1.00,7.00
17359,0.00,7.00
17379,0.00,7.00
17398,0.00,7.00
17419,0.00,7.00
17438,1.00,7.00
17458,0.00,7.00
17478,0.00,7.00
17498,0.00,7.00
17517,0.00,7.00
17537,1.00,7.00
17557,1.00,7.00
17576,0.00,7.00
17596,0.00,7.00
17616,0.00,7.00
17636,1.00,7.00
17655,0.00,7.00
17675,0.00,7.00
17695,0.00,7.00
17715,0.00,7.00
17734,0.00,7.00
17755,1.00,7.00
17774,0.00,7.00
17794,0.00,7.00
17814,0.00,7.00
17833,0.00,7.00
17853,1.00,7.00
17872,1.00,7.00
17893,0.00,7.00
17912,0.00,7.00
17932,0.00,7.00
17952,1.00,7.00
17972,1.00,7.00
17991,0.00,7.00
18012,0.00,7.00
18031,0.00,7.00
18051,0.00,7.00
18070,851.00,8.00
18093,877.00,8.00
18114,0.00,8.00
18134,599.00,9.00
18156,632.00,9.00
18178,630.00,9.00
18199,626.00,9.00
18222,626.00,9.00
18243,627.00,9.00
18265,628.00,9.00
18287,629.00,9.00
18309,629.00,9.00
18330,630.00,9.00
18353,630.00,9.00
18374,627.00,9.00
18396,618.00,9.00
18418,617.00,9.00
18440,617.00,9.00
18461,616.00,9.00
18484,616.00,9.00
18505,617.00,9.00
18527,617.00,9.00
18549,617.00,9.00
18571,618.00,9.00
18592,617.00,9.00
18615,620.00,9.00
18636,620.00,9.00
18658,620.00,9.00
18680,619.00,9.00
18702,620.00,9.00
18723,622.00,9.00
18746,620.00,9.00
18767,620.00,9.00
18789,619.00,9.00
18811,619.00,9.00
18833,618.00,9.00
18854,618.00,9.00
18877,617.00,9.00
18898,619.00,9.00
18920,623.00,9.00
18942,622.00,9.00
18964,784.00,9.00
18985,872.00,9.00
19007,574.00,9.00
19030,752.00,9.00
19051,749.00,9.00
19073,744.00,9.00
19095,740.00,9.00
19117,739.00,9.00
19138,740.00,9.00
19161,738.00,9.00
19182,738.00,9.00
19204,738.00,9.00
19226,739.00,9.00
19248,738.00,9.00
19269,739.00,9.00
19292,726.00,9.00
19313,724.00,9.00
19335,726.00,9.00
19357,726.00,9.00
19379,726.00,9.00
19400,728.00,9.00
19423,728.00,9.00
19444,728.00,9.00
19466,730.00,9.00
19488,731.00,9.00
19510,732.00,9.00
19531,732.00,9.00
19554,733.00,9.00
19575,734.00,9.00
19597,734.00,9.00
19619,736.00,9.00
19641,736.00,9.00
19662,736.00,9.00
19685,737.00,9.00
19706,737.00,9.00
19728,738.00,9.00
19750,740.00,9.00
19772,739.00,9.00
19793,806.00,9.00
19816,868.00,9.00
19837,750.00,9.00
19859,715.00,9.00
19881,701.00,9.00
19903,697.00,9.00
19924,695.00,9.00
19947,695.00,9.00
19969,693.00,9.00
19990,691.00,9.00
20013,690.00,9.00
20034,689.00,9.00
20056,689.00,9.00
20078,689.00,9.00
20100,688.00,9.00
20121,688.00,9.00
20144,686.00,9.00
20165,686.00,9.00
20187,686.00,9.00
20209,686.00,9.00
20231,685.00,9.00
20252,686.00,9.00
20275,685.00,9.00
20296,683.00,9.00
20318,683.00,9.00
20340,683.00,9.00
20362,683.00,9.00
20383,682.00,9.00
20405,682.00,9.00
20427,682.00,9.00
20449,683.00,9.00
20470,681.00,9.00
20493,681.00,9.00
20514,682.00,9.00
20536,680.00,9.00
20558,681.00,9.00
20580,681.00,9.00
20601,681.00,9.00
20624,680.00,9.00
20645,680.00,9.00
20667,680.00,9.00
20689,679.00,9.00
20711,797.00,9.00
20732,859.00,9.00
20755,792.00,9.00
20776,781.00,9.00
20798,778.00,9.00
20820,776.00,9.00
20842,775.00,9.00
20864,774.00,9.00
20886,774.00,9.00
20908,774.00,9.00
20929,772.00,9.00
20952,773.00,9.00
20973,773.00,9.00
20995,773.00,9.00
21017,773.00,9.00
21039,774.00,9.00
21060,773.00,9.00
21083,774.00,9.00
21104,773.00,9.00
21126,773.00,9.00
21148,773.00,9.00
21170,773.00,9.00
21191,773.00,9.00
21214,775.00,9.00
21235,773.00,9.00
21257,773.00,9.00
21279,774.00,9.00
21301,773.00,9.00
21322,773.00,9.00
21345,775.00,9.00
21366,774.00,9.00
21388,773.00,9.00
21410,774.00,9.00
21432,773.00,9.00
21453,774.00,9.00
21476,773.00,9.00
21497,774.00,9.00
21519,774.00,9.00
21541,774.00,9.00
21563,774.00,9.00
21584,773.00,9.00
21607,774.00,9.00
21628,774.00,9.00
21650,774.00,9.00
21672,845.00,9.00
21694,827.00,9.00
21715,590.00,9.00
21738,557.00,9.00
21760,547.00,9.00
21781,542.00,9.00
21803,538.00,9.00
21825,535.00,9.00
21847,532.00,9.00
21868,532.00,9.00
21891,529.00,9.00
21912,527.00,9.00
21934,528.00,9.00
21956,526.00,9.00
21978,525.00,9.00
21999,524.00,9.00
22022,524.00,9.00
22043,523.00,9.00
22065,522.00,9.00
22087,523.00,9.00
22109,521.00,9.00
22130,523.00,9.00
22153,521.00,9.00
22174,519.00,9.00
22196,519.00,9.00
22218,520.00,9.00
22240,520.00,9.00
22261,519.00,9.00
22284,519.00,9.00
22305,518.00,9.00
22327,517.00,9.00
22349,519.00,9.00
22371,518.00,9.00
22392,517.00,9.00
22415,517.00,9.00
22436,517.00,9.00
22458,516.00,9.00
22480,516.00,9.00
22502,516.00,9.00
22523,515.00,9.00
22546,514.00,9.00
22567,516.00,9.00
22589,515.00,9.00
22611,514.00,9.00
22633,515.00,9.00
22654,514.00,9.00
22677,514.00,9.00
22699,513.00,9.00
22720,809.00,9.00
22743,856.00,9.00
22764,519.00,9.00
22786,735.00,9.00
22808,779.00,9.00
22830,782.00,9.00
22851,784.00,9.00
22874,786.00,9.00
22895,787.00,9.00
22917,787.00,9.00
22939,787.00,9.00
22961,788.00,9.00
22982,789.00,9.00
23005,787.00,9.00
23026,787.00,9.00
23048,786.00,9.00
23070,786.00,9.00
23092,786.00,9.00
23113,785.00,9.00
23136,785.00,9.00
23157,784.00,9.00
23179,784.00,9.00
23200,784.00,9.00
23223,784.00,9.00
23244,784.00,9.00
23266,784.00,9.00
23288,784.00,9.00
23310,784.00,9.00
23331,784.00,9.00
23354,784.00,9.00
23375,784.00,9.00
23397,785.00,9.00
23419,784.00,9.00
23441,783.00,9.00
23462,784.00,9.00
23485,784.00,9.00
23506,783.00,9.00
23528,784.00,9.00
23550,784.00,9.00
23572,783.00,9.00
23593,784.00,9.00
23616,784.00,9.00
23638,784.00,9.00
